Name	Sets	ImageFile	Cost	Damage	Momentum	Type	Target	Traits	Wrestler Logo	Game Text
A Fist Full of Young Bucks	Advanced	AFistFullOfYoungBucks.png	2	0	2	Action				Ongoing - Choose a card in your Market. That card has Echo.  Ongoing - Your Hand is +1.
Achilles Lock	Advanced	AchillesLock.png	4	4	4	Submission	L			Ongoing - Opponent's cards with Permanent are -1M.  Ongoing - Cards with 0M lose Permanent.
ACTION	Advanced	Action.png	-	-	-	Action				THIS CARD IS FOR VISION PLAYTESTING.  This is for standing in your deck for a card you have designed. We're in Vision testing, so make whatever and try it out.
Adam Copeland Wrestler	Advanced	AdamCopelandWrestler.png	N/a	N/a	3	Wrestler			Adam Copeland Wrestler	You may have an additional copy of cards in your draw and purchase decks.
Adam Page Action	Advanced	AdamPageAction.png	7	0	2	Action			Adam Page Wrestler	Trigger - When you Tuck a card using a card effect, gain Stamina equal it's Momentum.
Adam Page Wrestler	Advanced	AdamPageWrestler.png	N/a	N/a	3	Wrestler			Adam Page Wrestler	Response - Commit : Tuck a card from your discard to reduce the damage of a played maneuver by it's Momentum.
AEW Tag Championship	Advanced	AewTagChampionship.png				Championship			AEW Tag Championship	Your Starting Market is +2
AEW Women's World Championship	Advanced	AewWomen'sWorldChampionship.png				Championship			AEW Women's World Championship	Your Maximum Stamina is +6.
AEW World Championship	Advanced	AewWorldChampionship.png				Championship			AEW World Championship	Your Starting Hand is +1.
Amateur Takedown	Advanced	AmateurTakedown.png	2	4	4	Grapple	L	Setup		(Technical Style Needed) (Technical Style)  Leverage  Enters - You may play a setup or Technical maneuver from your hand or discard. If played from hand it gains Focus Attack.
And You Know It	Advanced	AndYouKnowIt.png	9	0	3	Action			MJF Wrestler	Enters - You may discard up to three cards. For each you do gain 2 Stamina and opponent chooses to either discard a card or tuck a card from their discard. If you discarded three cards this way Scout, then draw two cards.
Andrade Wrestler	Advanced	AndradeWrestler.png	N/a	N/a	4	Wrestler			Andrade Wrestler	Tie-Up Action - Tuck a card with Sudden from your discard: Play a card with Relentless from your discard.
Angelo Parker Finisher	Advanced	AngeloParkerFinisher.png	16	10	15	Strike			Angelo Parker Wrestler	As you play this you may Tuck a card from your Market. If you do, this gains Damage equal to that card's Momentum.  Finisher  Enters - You may tuck a card from your Market, if you do gain Stamina equal to that card's Momentum. Refill your market.
Angelo Parker Manager	Advanced	AngeloParkerManager.png	N/a	N/a	3	Manager			Angelo Parker Manager	Ruby Soho - Your Starting Hand is +1 (this does not effect your hands after your opening hand).  Action - Commit : Choose two cards in your Market. Purchase one, Tuck the other, then refill your Market (you must pay for the card you purchased).
Angelo Parker Wrestler	Advanced	AngeloParkerWrestler.png	N/a	N/a	3	Wrestler			Angelo Parker Wrestler	Ongoing - When you purchase a card you may also Tuck a card from your Market and replace it
Anger the Crowd	Advanced	AngerTheCrowd.png	1	0	5	Action		Heat		Aggressive
Ankle Lock	Advanced	AnkleLock.png	0	2	2	Submission	L			Focus Attack
Anthony Bowens Wrestler	Advanced	AnthonyBowensWrestler.png	N/a	N/a	4	Wrestler			Anthony Bowens Wrestler	Tie-Up Action - Commit and discard a card : Play a maneuver from your hand, any Enters abilities on that card trigger an additional time
Anthony Ogogo Manager	Advanced	AnthonyOgogoManager.png	N/a	N/a	3	Manager		Boxer	Anthony Ogogo Manager	Ongoing - During your Recovery Phase your Punches are -1C.
Anthony Ogogo Wrestler	Advanced	AnthonyOgogoWrestler.png	N/a	N/a	2	Wrestler		Boxer	Anthony Ogogo Wrestler	Your Punches are -1C.
Are We Dreaming	Advanced	AreWeDreaming.png	7	0	4	Action			Triangle of Madness	Hidden  Enters - Draw a card for each face down card in your ring. Then discard two cards if this was played from your hand.
Arm Breaker	Advanced	ArmBreaker.png	8	6	6	Grapple	A			Relentless
Arm Scissor	Advanced	ArmScissor.png	2	4	4	Submission	A			Ongoing - Opponent's maneuvers played from outside their hand deal half damage (round up)
Asshole	Advanced	Asshole.png	N/a	N/a	2	Call Name			Asshole	Ongoing - Cards played from outside your hand are -1C.
Backhand Chop	Advanced	BackhandChop.png	1	3	2	Strike	T	Chop		Sudden, Combo Attack
Baddest Hands on the Planet	Advanced	BaddestHandsOnThePlanet.png	0	0	0	Boon				Permanent. Ongoing - Your Punches are +1D/+1M.
Baddest Plan on the Planet	Advanced	BaddestPlanOnThePlanet.png	5	0	4	Action		Punch	Mike Tyson Wrestler	Ongoing - Your gain Punches "Enters - Stun opponent then Scout". Enters - Create a Baddest Hands on the Planet Token in your Ring.
Baddest Uppercut on the Planet	Advanced	BaddestUppercutOnThePlanet.png	20	16	16	Strike	H	Punch	Mike Tyson Wrestler	Finisher. Enters - If your Uncommited momentum from only other Punches is higher than your opponent's stamina, you win the game via Knockout.
Bang! Bang!	Advanced	Bang!Bang!.png	6	0	2	Response		Pop	Mick Foley Wrestler	Reverse any card.  Ongoing - Your Pops are +1D/+1M and have Cunning Attack.
Beast	Advanced	Beast.png	0	0	3	Boon				Ongoing - Your maneuvers are +1D
Beast Bomb	Advanced	BeastBomb.png	18	16	16	Grapple	T	Slam	Nyla Rose Wrestler	Ongoing - Your maneuvers with no printed abilities are +3D. Enters - You may have this gain Permanent this turn.
Being the Elite	Advanced	BeingTheElite.png	4	0	2	Action			The Elite	Enters - Put a card from your discard beneath your draw or purchase deck. Then draw two cards and gain 2 Stamina.
Bell Ringer	Advanced	BellRinger.png	0	0	0	Injury				Ongoing - Your Market is -1.
Belly to Belly Suplex	Advanced	BellyToBellySuplex.png	4	6	6	Grapple	T, H	Suplex		Enters - Draw two cards.
Beth Copeland Manager	Advanced	BethCopelandManager.png	N/a	N/a	3	Manager			Beth Copeland Wrestler	Ongoing - Cards in your Market have Sudden if there is a copy of that card in your ring.
Big Stoke Manager	Advanced	BigStokeManager.png	N/a	N/a	3	Manager			Stokely Hathaway	Ongoing - Your Market is +1.
Billy Gunn Manager	Advanced	BillyGunnManager.png	N/a	N/a	3	Manager			Billy Gunn Manager	Ongoing - Your Grapples are +1D.
Bitch	Advanced	Bitch.png	8	0	4	Response			Kazuchika Okada Wrestler	Reverse any card. Special - If this would be put into your Discard from anywhere, shuffle it into your draw deck instead.
Bite the Ear	Advanced	BiteTheEar.png	6	2	3	Response		Punch	Mike Tyson Wrestler	Reverse any maneuver. Ongoing - Your Punches are +2D.
Blackpool Combat Club	Advanced	BlackpoolCombatClub.png	N/a	N/a	3	Faction			Blackpool Combat Club	Flip - Play a maneuver from your discard. It gains +3D and Permanent this turn.
Blinded	Advanced	Blinded.png	0	0	0	Injury				Ongoing - Your Hand is -1.
Blindside Armlock	Advanced	BlindsideArmlock.png	0	2	3	Submission	A			Hidden  Ongoing - Opponent is -1 Hand.
Blindside Attack	Advanced	BlindsideAttack.png	0	0	2	Action				Hidden  Enters - Choose one: Draw a card, or play a maneuver from your discard face down. It gains Permanent this turn.  Turned - Choose both.
Blindside Slam	Advanced	BlindsideSlam.png	0	3	3	Grapple	T			Hidden  Turned - Create a Winded token in Opponent's Ring.
Blindsided Punch	Advanced	BlindsidedPunch.png	0	3	3	Strike	H	Punch		Hidden.  Turned - Stun opponent
Blown Spot	Advanced	BlownSpot.png	5	0	3	Response				Reverse any maneuver not played from hand. Tuck that card.
Body Scissors	Advanced	BodyScissors.png	7	7	7	Submission	T			
Booby Trapped Backpack	Advanced	BoobyTrappedBackpack.png	4	3	2	Response				Hidden  Reverse any Item, Assist, High Risk, or Token. When played from outside your hand, instead reverse any card.  Enters - Stun opponent then Scout.
Boston Crab	Advanced	BostonCrab.png	8	4	4	Submission	T			Trigger - After opponent plays an Action card, Stun them.
Brain Fog	Advanced	BrainFog.png	X	0	0	Injury				Nothing
Brainbuster	Advanced	Brainbuster.png	6	6	6	Grapple	H			Focus Attack
Break Concentration	Advanced	BreakConcentration.png	4	0	3	Response				Reverse any Action or Submission
Brian Danielson Wrestler	Advanced	BrianDanielsonWrestler.png	N/a	N/a	3	Wrestler			Brian Danielson Wrestler	Provides one of each Style.
Bridging German Suplex	Advanced	BridgingGermanSuplex.png	9	5	5	Grapple	T	Suplex		Enters - Try to Pin opponent.   Capitalize - If this was played after Drop Step this is +4M for this Pin.
Bronze Left Hand	Advanced	BronzeLeftHand.png	18	10	14	Strike			Anthony Ogogo Wrestler	Finisher  Ongoing - Your Punches have Relentless, are -1C and +1D.
Brooding	Advanced	Brooding.png	2	0	2	Action				Sudden  Ongoing - You are +1 Hold and +1 Hand.
Brutalizer	Advanced	Brutalizer.png	18	10	14	Submission	H, A, T		Pac Wrestler	Finisher, Focus Attack, Focus Attack  Enters - If the total damage bonus to this card is higher than opponent's remaining Stamina, you win the game via Passout.
