Name	Type	Set 	Cost	Damage	Momentum	Target	Traits	Wrestler Kit	Signature For	Game Text	ImageFile
Amazing Display of Power	Action	Core	0	0	2					Tie-Up Enters - You may play a maneuver from your hand or maneuver with cost 4 or less from your discard. If played from hand it gains Power Attack.	Amazing Display of Power
Anti-Air	Response	Core	0	2	2					Cycling. Reverse any High Risk.	Anti-Air
Arm Drag	Grapple	Core	0	2	4	A				Enters - Gain 1 Stamina	Arm Drag
Armbar	Submission	Core	0	3	3	A				Ongoing - Opponent's Hold is -1.	Armbar
Armbar Takedown	Grapple	Core	0	2	2	A	Set-up			Enters - You may play a submission with Target: A from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.	Armbar Takedown
Arrive In Style	Action	Core	0	0	1					Enters - Place up to two cards from your Market beneath your Purchase Deck, replace. Draw a card and gain 1 Stamina.	Arrive In Style
Belly-to-Belly Takedown	Grapple	Core	0	2	2	T	Set-up			Enters - You may play a submission with Target: T from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.	Belly-to-Belly Takedown
Block	Response	Core	0	0	2					Reverse any Strike.	Block
Break Free	Response	Core	0	0	2					Reverse any Grapple.	Break Free
Chop	Strike	Core	0	1	1	T	Chop			Enters - Scout	Chop
Circle Opponent	Action	Core	0	0	1					Ready Enters - Draw two cards then discard a card. Tie-Up Play - Play a maneuver with cost 2 or less from your discard.	Circle Opponent
Collar and Elbow Lockup	Grapple	Core	0	3	3	-				Enters - Look at the top card of your draw deck, you may discard that. Then both players draw two cards. 	Collar and Elbow Lockup
Draw Heat	Action	Core	0	0	5						Draw Heat
Drop Step	Response	Core	0	0	2					Reverse any maneuver of 4D or less. Enters - Draw a card 	Drop Step
European Uppercut	Strike	Core	0	5	3	T				Enters - Discard the top two cards of your Draw deck	European Uppercut
Front Chancery	Submission	Core	0	3	3	H				Ongoing -Your Hand is +1. Enters - Gain 2 Stamina. 	Front Chancery
Front Kick	Strike	Core	0	4	4	T	Kick				Front Kick
Get a Pop	Action	Core	0	0	2					Permanent.	Get a Pop
Hammerlock	Submission	Core	0	3	3	A				Enters - Gain 2 Stamina. Ongoing - Opponent's Punches are -1D.	Hammerlock
Headlock Takedown	Grapple	Core	0	2	2	H	Set-up			Enters - You may play a submission with Target: H from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.	Headlock Takedown
Hip Toss	Grapple	Core	0	4	2	T				Permanent (This card is not removed from play as turns end)	Hip Toss
Irish Whip	Action	Core	0	0	2		Set-up			Tie-Up Enters - Look at the top three cards of your Draw Deck, you may play a maneuver from among them. Discard the rest. 	Irish Whip
Jab	Strike	Core	0	2	3	H	Punch			Enters - You may play a strike from your discard by paying for it. Free if a Punch.	Jab
Kick	Strike	Core	0	2	2	T	Kick				Kick
Overhand Punch	Strike	Core	0	3	6	H	Punch				Overhand Punch
Overhand Wrist Lock	Submission	Core	0	3	3	A					Overhand Wrist Lock
Quick Thinking	Action	Core	0	0	3					Enters - Discard a card then draw two cards. 	Quick Thinking
Reach the Ropes	Response	Core	0	0	2					Reverse any Submission.	Reach the Ropes
Ready For a Fight	Action	Core	0	0	2					Ready Enters - Draw a card. Ongoing - Your maneuvers are +!D.	Ready For a Fight
Rookie Mistake 	Response	Core	0	0	2					Permanent. Reverse any 0 Cost card. 	Rookie Mistake 
Rude Interruption	Response	Core	0	0	2					Reverse any Action	Rude Interruption
Side Headlock	Submission	Core	0	1	3	H				Permanent	Side Headlock
Single Leg Takedown	Grapple	Core	0	2	2	L	Set-up			Enters - You may play a submission with Target: L from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.	Single Leg Takedown
Slap	Strike	Core	0	1	1	H				Permanent. Enters - Draw a card.	Slap
Snapmare	Grapple	Core	0	1	6	H					Snapmare
Study Opponent	Action	Core	0	0	1					Enters - Draw a card, you may then Cycle a card (Discard a card to draw a card). Recovery Play - You may put a card from your Discard beneath your Purchase deck to Gain 3 Stamina.	Study Opponent
Take a Breather	Action	Core	0	0	2					Recovery Enters - Place a card from your discard beneath your draw deck. Gain 2 Stamina.	Take a Breather
A Little Bit of the Bubbly	Action	Core	1	0	2					Ongoing - Each player gets +1 Hand. Ready Enters - Choose an opponent to discard two cards. Chris Jericho Enters - Gain 3 Stamina.	A Little Bit of the Bubbly
Body Slam	Grapple	Core	1	3	2	T	Slam			Enters - If you have another Grapple in your ring, draw a card	Body Slam
Burst of Energy	Action	Core	1	0	3					Recovery Enters - Shuffle up to three cards from your discard into your draw deck. Gain 3 Stamina.	Burst of Energy
Grab the Mic	Action	Core	1	0	0					Sudden. Enters - Scout then choose one: Attempt to Draw Heat or Attempt to Get a Pop 	Grab the Mic
Grounded Body Scissors	Submission	Core	1	3	3	T				Ongoing - Non-Maneuver cards in Opponent's Market are +2C.	Grounded Body Scissors
Grounded Hammer Lock	Submission	Core	1	3	3	A				Ongoing - Choose a card in Opponent's Market. They can't purchase or play that card. (You may pick Kit cards) 	Grounded Hammer Lock
Grounded Headlock	Submission	Core	1	3	3	H				Ongoing - Choose a Non-Signature card in Opponent's Ring. That card loses all abilities except Permanent. It has 0M.	Grounded Headlock
I Digress	Action	Core	1	0	2					Enters - You may discard up to two cards. Place up to that many cards from your discard beneath your draw deck then draw that many cards and gain that much Stamina.	I Digress
Intimidate Opponent	Action	Core	1	0	2					Enters - Opponent discards a card.	Intimidate Opponent
Knee Bar	Submission	Core	1	5	3	L				Permanent. Enters - Gain 2 Stamina	Knee Bar
Mounted Punches	Strike	Core	1	2	3	H	Punch			Permanent. Follow-Up - Power Attack.	Mounted Punches
Running Clothesline	Strike	Core	1	5	5	T	Lariat				Running Clothesline
Showoff Lock	Submission	Core	1	1	1	-				Enters - Choose one: Attempt to Draw Heat or Attempt to Get a Pop. 	Showoff Lock
Spinning Back Elbow	Strike	Core	1	6	6	H					Spinning Back Elbow
Tighten Your Grip	Action	Core	1	0	2					Follow-Up - Enters - The Followed Maneuver gains Permanent this turn.	Tighten Your Grip
Belly-to-Back Suplex	Grapple	Core	2	7	4	T	Suplex				Belly-to-Back Suplex
Drop Toe Hold	Grapple	Core	2	5	5	T				Enters - If you have a Strike in your ring, Stun opponent.	Drop Toe Hold
Fireman's Carry	Grapple	Core	2	4	4	T				Enters - You may put up to one card from your discard beneath your draw deck.	Fireman's Carry
Flying Head Scissors	Grapple	Core	2	7	7	H	High Risk				Flying Head Scissors
Haymaker	Strike	Core	2	5	3	H	Punch			Power Attack	Haymaker
Kneelock	Submission	Core	2	3	6	L					Kneelock
Opening Jab	Strike	Core	2	3*	3	H	Punch			*If this is your first maneuver this turn, this is +3D.	Opening Jab
Slam	Grapple	Core	2	6	3	T	Slam				Slam
Standing Arm Lock	Submission	Core	2	4	2	A				Ongoing - Opponent's Grapples are +1C.	Standing Arm Lock
