Name	Type	Set 	Cost	Damage	Momentum	Target	Traits	Wrestler Kit	Signature For	Game Text	ImageFile
A Little Bit of the Bubbly	Action	Core	1	0	2					Ongoing - Each player gets +1 Hand. Ready Enters - Choose an opponent to discard two cards. Chris Jericho Enters - Gain 3 Stamina.	A Little Bit of the Bubbly
All Rounder	Action	Core	5	0	3					Enters - If you have a Strike in your ring, Scout. A Grapple in your ring, you may put up to one card from your discard beneath your draw deck. A Submission in your ring, you may Tuck up to two cards from your Discard. If you have all three, you may then Draw a card and gain 3 Stamina. 	All Rounder
Amateurs	Action	Core	8	0	4					Ready Enters - Opponent may discard a maneuver with cost 5 or greater. If they do not, they discard two cards.	Amateurs
Amazing Display of Power	Action	Core	0	0	2					Tie-Up Enters - You may play a maneuver from your hand or maneuver with cost 4 or less from your discard. If played from hand it gains Power Attack.	Amazing Display of Power
And Watch for the Shoe	Response	Core	7	0	5			TRUE	Toni Storm Wrestler	Reverse any maneuver. Ongoing - Your Action cards are +1D	And Watch for the Shoe
Ankle Hook	Submission	Core	4	3	6	L				Focus Attack. Ongoing - Opponent's Kicks are -2D	Ankle Hook
Anti-Air	Response	Core	0	2	2					Cycling. Reverse any High Risk.	Anti-Air
Arm Drag	Grapple	Core	0	2	4	A				Enters - Gain 1 Stamina	Arm Drag
Arm Wringer 	Submission	Core	6	6	6	A				Ongoing - Your maneuvers with T:A are +2D.	Arm Wringer 
Armbar	Submission	Core	0	3	3	A				Ongoing - Opponent's Hold is -1.	Armbar
Armbar Takedown	Grapple	Core	0	2	2	A	Set-up			Enters - You may play a submission with Target: A from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.	Armbar Takedown
Arrive In Style	Action	Core	0	0	1					Enters - Place up to two cards from your Market beneath your Purchase Deck, replace. Draw a card and gain 1 Stamina.	Arrive In Style
Avalanche Brainbuster	Grapple	Core	14	12	12	H	High Risk, Suplex			Enters - Your opponent discards two cards.	Avalanche Brainbuster
Backbreaker	Grapple	Core	6	6	6	T				Enters - Stun opponent.	Backbreaker
Bear Hug	Submission	Core	6	6	6	T				Ongoing - Your maneuvers with T:T are +2D.	Bear Hug
Belly-to-Back Suplex	Grapple	Core	2	7	4	T	Suplex				Belly-to-Back Suplex
Belly-to-Belly Takedown	Grapple	Core	0	2	2	T	Set-up			Enters - You may play a submission with Target: T from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.	Belly-to-Belly Takedown
Block	Response	Core	0	0	2					Reverse any Strike.	Block
Bobby Lashley Wrestler	Wrestler	Core			5			TRUE	Bobby Lashley Wrestler	Tie-Up Action - Commit : Play a maneuver from your hand. It gains "Enters - Draw two cards." 	Bobby Lashley
Body Slam	Grapple	Core	1	3	2	T	Slam			Enters - If you have another Grapple in your ring, draw a card	Body Slam
Bow To Your Sensei	Response	Core	5	0	3			TRUE	Mike Bailey Wrestler	Reverse any maneuver. Enters - You may put a Kick from your Discard beneath your draw deck. 	Bow To Your Sensei
Break Free	Response	Core	0	0	2					Reverse any Grapple.	Break Free
Bulldog Choke	Submission	Core	10	10	10	H				Ongoing - Opponent's Hand is -1. Jon Moxley - Damage +3.	Bulldog Choke
Burst of Energy	Action	Core	1	0	3					Recovery Enters - Shuffle up to three cards from your discard into your draw deck. Gain 3 Stamina.	Burst of Energy
Chain Wrestling	Action	Core	3	0	2		Set-up			Permanent. Tie-Up Action - Commit : Play a maneuver from your hand that shares a type with one in your ring. It gains 'Enters - Draw a card'. 	Chain Wrestling
